iteration,L1
1,4900.707429524379
2,4028.548242404348
3,2857.0189624315226
4,2857.0189624315226
5,2674.8226133976837
6,1914.037972070418
7,1851.6765109587518
8,1486.8281483965495
9,939.0861259492743
10,939.0861259492743
11,939.0861259492743
12,567.7161688598643
13,567.7161688598643
14,341.962602224401
15,341.962602224401
16,341.962602224401
17,341.962602224401
18,341.962602224401
19,239.36720401785922
20,239.36720401785922
21,239.36720401785922
22,239.36720401785922
23,239.36720401785922
24,137.735765683231
25,137.735765683231
26,137.735765683231
27,137.735765683231
28,135.86589202500622
29,129.2352999145946
30,122.73970180506589
31,122.73970180506589
32,122.73970180506589
33,122.73970180506589
34,116.15149795087243
35,116.15149795087243
36,116.15149795087243
37,116.15149795087243
38,116.15149795087243
39,114.15715132745501
40,114.00592566238342
41,114.00592566238342
42,114.00592566238342
43,113.6246938024014
44,113.6246938024014
45,112.93115550659034
46,112.93115550659034
47,112.93115550659034
48,112.93115550659034
49,112.93115550659034
