iteration,L1
1,2988.5369284855756
2,2530.0484572341657
3,2530.0484572341657
4,2530.0484572341657
5,1237.706080401052
6,1237.706080401052
7,1237.706080401052
8,1053.1869185460985
9,982.575133892796
10,982.575133892796
11,652.2855226322172
12,399.09416270580925
13,399.09416270580925
14,399.09416270580925
15,341.6029683701802
16,341.6029683701802
17,341.6029683701802
18,254.2324826723074
19,227.94070679112747
20,222.691110817183
21,222.691110817183
22,222.691110817183
23,169.0880601805083
24,169.0880601805083
25,169.0880601805083
26,141.36273681860007
27,141.36273681860007
28,123.92505654062914
29,123.92505654062914
30,123.39714704127981
31,123.39714704127981
32,123.11973536930324
33,118.8925191938027
34,118.24049856006064
35,117.02537532574046
36,117.02537532574046
37,115.11498041495653
38,115.11498041495653
39,113.7546752113239
40,113.7546752113239
41,113.7546752113239
42,113.21696904621916
43,113.21696904621916
44,112.8046683153845
45,112.8046683153845
46,112.8046683153845
